The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (2025). Swisswide Glacier Mass Balance, release 2025, Glacier Monitoring Switzerland, doi:10.18750/massbalance.swisswide.2025.r2025.

SWISSWIDE GLACIER MASS BALANCE

catchment,year,area,massbalance evolution,volume,volume change
Aare,1958,224.35,-0.855,15.577,-1.43
Aare,1959,222.11,-0.830,15.360,-1.39
Aare,1960,223.52,0.297,15.438,0.51
Aare,1961,222.96,-0.292,15.361,-0.50
Aare,1962,222.69,-0.207,15.307,-0.35
Aare,1963,222.27,-0.242,15.243,-0.41
Aare,1964,220.30,-0.729,15.055,-1.24
Aare,1965,222.39,0.523,15.191,0.91
Aare,1966,223.90,0.336,15.280,0.58
Aare,1967,225.62,0.352,15.373,0.61
Aare,1968,227.66,0.416,15.485,0.72
Aare,1969,228.21,-0.009,15.482,-0.02
Aare,1970,227.89,-0.226,15.422,-0.39
Aare,1971,226.29,-0.581,15.267,-1.00
Aare,1972,227.16,0.072,15.286,0.13
Aare,1973,224.56,-0.855,15.061,-1.48
Aare,1974,226.09,0.166,15.105,0.29
Aare,1975,224.76,0.317,15.188,0.55
Aare,1976,223.43,-0.600,15.031,-1.04
Aare,1977,222.10,1.179,15.339,2.05
Aare,1978,220.77,1.018,15.603,1.72
Aare,1979,219.44,-0.450,15.487,-0.74
Aare,1980,218.10,0.795,15.691,1.32
Aare,1981,216.77,0.271,15.760,0.44
Aare,1982,215.44,-0.896,15.533,-1.44
Aare,1983,214.11,-0.564,15.391,-0.91
Aare,1984,212.78,0.253,15.454,0.41
Aare,1985,211.45,-0.404,15.354,-0.65
Aare,1986,210.12,-0.794,15.157,-1.28
Aare,1987,208.79,-0.736,14.976,-1.19
Aare,1988,207.45,-0.515,14.851,-0.84
Aare,1989,206.12,-0.646,14.694,-1.06
Aare,1990,204.79,-1.215,14.401,-1.99
Aare,1991,203.46,-1.267,14.098,-2.11
Aare,1992,202.13,-0.730,13.924,-1.23
Aare,1993,200.80,-0.131,13.893,-0.22
Aare,1994,199.47,-0.912,13.679,-1.54
Aare,1995,198.14,0.138,13.712,0.24
Aare,1996,196.80,-0.277,13.647,-0.47
Aare,1997,195.47,-0.517,13.528,-0.87
Aare,1998,194.14,-1.611,13.161,-2.72
Aare,1999,192.81,-0.308,13.091,-0.53
Aare,2000,191.48,-0.390,13.003,-0.67
Aare,2001,190.15,0.154,13.037,0.27
Aare,2002,188.82,-0.440,12.940,-0.75
Aare,2003,187.49,-2.116,12.473,-3.61
Aare,2004,186.15,-0.640,12.333,-1.12
Aare,2005,184.82,-1.047,12.105,-1.85
Aare,2006,183.49,-1.451,11.792,-2.59
Aare,2007,182.16,-0.401,11.706,-0.73
Aare,2008,180.83,-1.126,11.467,-2.05
Aare,2009,179.44,-0.928,11.271,-1.71
Aare,2010,178.22,-0.571,11.151,-1.06
Aare,2011,176.36,-1.746,10.789,-3.25
Aare,2012,174.87,-1.072,10.568,-2.04
Aare,2013,174.00,-0.317,10.503,-0.61
Aare,2014,172.88,-0.537,10.394,-1.04
Aare,2015,170.60,-1.382,10.117,-2.67
Aare,2016,169.32,-0.637,9.990,-1.25
Aare,2017,165.26,-1.604,9.678,-3.12
Aare,2018,161.23,-1.605,9.374,-3.15
Aare,2019,158.82,-0.998,9.187,-1.99
Aare,2020,156.47,-0.975,9.008,-1.95
Aare,2021,155.47,-0.470,8.922,-0.95
Aare,2022,147.35,-3.187,8.369,-6.19
Aare,2023,141.71,-2.297,7.986,-4.58
Aare,2024,138.70,-1.279,7.777,-2.61
Aare,2025,134.44,-1.758,7.499,-3.58
Alpenrhein,1915,89.92,None,3.993,None
Alpenrhein,1916,91.39,0.788,4.078,2.12
Alpenrhein,1917,90.90,-0.349,4.041,-0.92
Alpenrhein,1918,91.61,0.339,4.077,0.90
Alpenrhein,1919,92.83,0.637,4.147,1.71
Alpenrhein,1920,93.08,0.091,4.157,0.24
Alpenrhein,1921,89.11,-2.538,3.891,-6.40
Alpenrhein,1922,89.59,0.213,3.913,0.58
Alpenrhein,1923,89.99,0.168,3.931,0.46
Alpenrhein,1924,90.58,0.279,3.961,0.76
Alpenrhein,1925,91.03,0.197,3.982,0.53
Alpenrhein,1926,90.86,-0.156,3.965,-0.42
Alpenrhein,1927,91.95,0.558,4.026,1.52
Alpenrhein,1928,88.50,-2.174,3.799,-5.62
Alpenrhein,1929,86.20,-1.459,3.651,-3.89
Alpenrhein,1930,86.08,-0.140,3.637,-0.39
Alpenrhein,1931,86.76,0.336,3.671,0.94
Alpenrhein,1932,84.95,-1.160,3.555,-3.16
Alpenrhein,1933,85.76,0.404,3.596,1.15
Alpenrhein,1934,83.96,-1.147,3.483,-3.15
Alpenrhein,1935,84.24,0.108,3.494,0.31
Alpenrhein,1936,84.53,0.112,3.505,0.32
Alpenrhein,1937,85.09,0.264,3.531,0.75
Alpenrhein,1938,84.38,-0.478,3.484,-1.34
Alpenrhein,1939,84.29,-0.119,3.472,-0.34
Alpenrhein,1940,85.77,0.784,3.551,2.28
Alpenrhein,1941,86.23,0.198,3.571,0.57
Alpenrhein,1942,84.79,-0.921,3.479,-2.57
Alpenrhein,1943,83.58,-0.777,3.403,-2.20
Alpenrhein,1944,82.71,-0.578,3.346,-1.65
Alpenrhein,1945,82.44,-0.246,3.323,-0.71
Alpenrhein,1946,81.83,-0.422,3.282,-1.22
Alpenrhein,1947,77.24,-3.006,3.009,-8.32
Alpenrhein,1948,78.40,0.620,3.066,1.90
Alpenrhein,1949,76.13,-1.465,2.935,-4.28
Alpenrhein,1950,73.37,-1.813,2.778,-5.33
Alpenrhein,1951,73.48,0.006,2.779,0.02
Alpenrhein,1952,71.72,-1.168,2.680,-3.55
Alpenrhein,1953,71.39,-0.267,2.658,-0.84
Alpenrhein,1954,71.44,-0.038,2.654,-0.12
Alpenrhein,1955,72.45,0.526,2.699,1.69
Alpenrhein,1956,72.15,-0.238,2.679,-0.75
Alpenrhein,1957,72.43,0.099,2.688,0.31
Alpenrhein,1958,70.94,-0.979,2.606,-3.04
Alpenrhein,1959,69.20,-1.170,2.511,-3.65
Alpenrhein,1960,69.53,0.132,2.521,0.43
Alpenrhein,1961,69.23,-0.257,2.500,-0.83
Alpenrhein,1962,69.07,-0.163,2.487,-0.53
Alpenrhein,1963,67.76,-0.884,2.417,-2.83
Alpenrhein,1964,65.77,-1.343,2.313,-4.30
Alpenrhein,1965,67.03,0.694,2.368,2.37
Alpenrhein,1966,67.98,0.509,2.408,1.72
Alpenrhein,1967,68.51,0.256,2.429,0.86
Alpenrhein,1968,69.75,0.661,2.483,2.23
Alpenrhein,1969,69.65,-0.127,2.473,-0.42
Alpenrhein,1970,69.82,0.037,2.476,0.12
Alpenrhein,1971,68.56,-0.835,2.408,-2.72
Alpenrhein,1972,68.21,-0.274,2.386,-0.91
Alpenrhein,1973,66.64,-1.037,2.305,-3.41
Alpenrhein,1974,67.28,0.200,2.321,0.69
Alpenrhein,1975,66.50,0.370,2.350,1.25
Alpenrhein,1976,65.73,-0.503,2.311,-1.65
Alpenrhein,1977,64.95,0.477,2.348,1.58
Alpenrhein,1978,64.17,0.772,2.406,2.48
Alpenrhein,1979,63.40,-0.435,2.373,-1.35
Alpenrhein,1980,62.62,0.592,2.417,1.84
Alpenrhein,1981,61.84,0.126,2.426,0.38
Alpenrhein,1982,61.07,-0.897,2.362,-2.65
Alpenrhein,1983,60.29,-0.596,2.320,-1.79
Alpenrhein,1984,59.51,0.456,2.352,1.38
Alpenrhein,1985,58.74,-0.181,2.339,-0.53
Alpenrhein,1986,57.96,-0.946,2.275,-2.76
Alpenrhein,1987,57.18,-0.572,2.236,-1.69
Alpenrhein,1988,56.41,-0.224,2.221,-0.66
Alpenrhein,1989,55.63,-0.660,2.178,-1.95
Alpenrhein,1990,54.85,-1.122,2.106,-3.32
Alpenrhein,1991,54.08,-1.642,2.001,-4.96
Alpenrhein,1992,53.30,-1.219,1.925,-3.82
Alpenrhein,1993,52.52,-0.301,1.906,-0.97
Alpenrhein,1994,51.75,-1.020,1.844,-3.26
Alpenrhein,1995,50.97,0.101,1.850,0.33
Alpenrhein,1996,50.19,-0.433,1.824,-1.38
Alpenrhein,1997,49.42,-0.662,1.786,-2.11
Alpenrhein,1998,48.64,-1.390,1.706,-4.45
Alpenrhein,1999,47.86,-0.207,1.695,-0.68
Alpenrhein,2000,47.09,-0.132,1.688,-0.43
Alpenrhein,2001,46.31,0.128,1.694,0.41
Alpenrhein,2002,45.53,-0.970,1.643,-3.07
Alpenrhein,2003,44.76,-2.286,1.522,-7.33
Alpenrhein,2004,43.98,-0.248,1.509,-0.84
Alpenrhein,2005,43.20,-1.063,1.455,-3.58
Alpenrhein,2006,42.43,-1.330,1.389,-4.56
Alpenrhein,2007,41.65,-0.762,1.352,-2.69
Alpenrhein,2008,40.87,-1.044,1.301,-3.71
Alpenrhein,2009,40.10,-1.183,1.246,-4.29
Alpenrhein,2010,39.34,-0.619,1.217,-2.30
Alpenrhein,2011,38.33,-1.893,1.132,-7.02
Alpenrhein,2012,37.49,-1.141,1.081,-4.45
Alpenrhein,2013,36.77,-0.331,1.067,-1.33
Alpenrhein,2014,36.04,-0.656,1.039,-2.61
Alpenrhein,2015,34.93,-1.446,0.980,-5.72
Alpenrhein,2016,34.12,-0.822,0.947,-3.37
Alpenrhein,2017,32.63,-1.525,0.888,-6.18
Alpenrhein,2018,31.01,-1.709,0.826,-7.02
Alpenrhein,2019,30.07,-1.000,0.790,-4.29
Alpenrhein,2020,29.12,-1.009,0.756,-4.37
Alpenrhein,2021,28.53,-0.652,0.734,-2.90
Alpenrhein,2022,25.36,-3.403,0.632,-13.84
Alpenrhein,2023,22.99,-2.623,0.561,-11.22
Alpenrhein,2024,21.64,-1.564,0.522,-7.09
Alpenrhein,2025,19.88,-2.074,0.473,-9.30
Bergell/Poschiavo,1915,38.28,None,3.194,None
Bergell/Poschiavo,1916,38.48,0.323,3.209,0.46
Bergell/Poschiavo,1917,38.34,-0.474,3.187,-0.67
Bergell/Poschiavo,1918,38.28,-0.292,3.174,-0.41
Bergell/Poschiavo,1919,38.58,0.543,3.199,0.78
Bergell/Poschiavo,1920,38.66,0.049,3.201,0.07
Bergell/Poschiavo,1921,37.58,-2.828,3.076,-3.91
Bergell/Poschiavo,1922,37.64,0.001,3.076,0.00
Bergell/Poschiavo,1923,37.69,-0.034,3.074,-0.05
Bergell/Poschiavo,1924,37.82,0.157,3.081,0.23
Bergell/Poschiavo,1925,37.89,0.026,3.083,0.04
Bergell/Poschiavo,1926,37.91,-0.121,3.077,-0.17
Bergell/Poschiavo,1927,38.12,0.372,3.094,0.54
Bergell/Poschiavo,1928,37.23,-2.352,2.991,-3.33
Bergell/Poschiavo,1929,36.61,-1.672,2.919,-2.41
Bergell/Poschiavo,1930,36.52,-0.386,2.902,-0.57
Bergell/Poschiavo,1931,36.66,0.192,2.910,0.29
Bergell/Poschiavo,1932,36.17,-1.345,2.853,-1.97
Bergell/Poschiavo,1933,36.31,0.179,2.861,0.27
Bergell/Poschiavo,1934,35.94,-1.067,2.816,-1.58
Bergell/Poschiavo,1935,35.99,-0.008,2.815,-0.01
Bergell/Poschiavo,1936,36.06,0.018,2.816,0.03
Bergell/Poschiavo,1937,36.16,0.097,2.820,0.15
Bergell/Poschiavo,1938,35.97,-0.623,2.794,-0.94
Bergell/Poschiavo,1939,35.89,-0.322,2.780,-0.49
Bergell/Poschiavo,1940,36.19,0.535,2.803,0.82
Bergell/Poschiavo,1941,36.22,-0.086,2.799,-0.13
Bergell/Poschiavo,1942,35.81,-1.162,2.751,-1.75
Bergell/Poschiavo,1943,35.52,-0.831,2.716,-1.26
Bergell/Poschiavo,1944,35.28,-0.743,2.685,-1.14
Bergell/Poschiavo,1945,34.96,-0.914,2.647,-1.40
Bergell/Poschiavo,1946,34.75,-0.662,2.620,-1.02
Bergell/Poschiavo,1947,33.51,-3.315,2.490,-4.99
Bergell/Poschiavo,1948,33.78,0.486,2.509,0.78
Bergell/Poschiavo,1949,33.17,-1.681,2.443,-2.61
Bergell/Poschiavo,1950,32.43,-2.021,2.366,-3.16
Bergell/Poschiavo,1951,32.39,-0.259,2.356,-0.42
Bergell/Poschiavo,1952,31.90,-1.375,2.305,-2.19
Bergell/Poschiavo,1953,31.75,-0.516,2.285,-0.84
Bergell/Poschiavo,1954,31.71,-0.268,2.275,-0.44
Bergell/Poschiavo,1955,31.60,-0.394,2.261,-0.64
Bergell/Poschiavo,1956,31.42,-0.617,2.238,-1.01
Bergell/Poschiavo,1957,31.23,-0.595,2.216,-0.98
Bergell/Poschiavo,1958,31.09,-0.535,2.197,-0.88
Bergell/Poschiavo,1959,30.74,-1.049,2.159,-1.73
Bergell/Poschiavo,1960,30.72,-0.222,2.151,-0.37
Bergell/Poschiavo,1961,30.54,-0.620,2.128,-1.04
Bergell/Poschiavo,1962,30.42,-0.463,2.112,-0.78
Bergell/Poschiavo,1963,30.14,-0.857,2.081,-1.44
Bergell/Poschiavo,1964,29.67,-1.325,2.035,-2.22
Bergell/Poschiavo,1965,29.89,0.355,2.048,0.61
Bergell/Poschiavo,1966,30.05,0.208,2.055,0.36
Bergell/Poschiavo,1967,30.16,0.047,2.057,0.08
Bergell/Poschiavo,1968,30.35,0.158,2.062,0.27
Bergell/Poschiavo,1969,30.28,-0.361,2.049,-0.62
Bergell/Poschiavo,1970,30.20,-0.412,2.035,-0.71
Bergell/Poschiavo,1971,29.85,-0.975,2.001,-1.68
Bergell/Poschiavo,1972,29.79,-0.367,1.988,-0.64
Bergell/Poschiavo,1973,29.35,-1.184,1.947,-2.06
Bergell/Poschiavo,1974,29.44,-0.047,1.945,-0.08
Bergell/Poschiavo,1975,29.20,0.011,1.946,0.02
Bergell/Poschiavo,1976,28.96,-0.754,1.920,-1.32
Bergell/Poschiavo,1977,28.72,0.607,1.940,1.07
Bergell/Poschiavo,1978,28.48,0.696,1.964,1.20
Bergell/Poschiavo,1979,28.25,-0.694,1.941,-1.17
Bergell/Poschiavo,1980,28.01,0.397,1.954,0.67
Bergell/Poschiavo,1981,27.77,-0.056,1.952,-0.09
Bergell/Poschiavo,1982,27.53,-1.170,1.914,-1.94
Bergell/Poschiavo,1983,27.29,-0.908,1.885,-1.52
Bergell/Poschiavo,1984,27.06,0.105,1.888,0.18
Bergell/Poschiavo,1985,26.82,-0.543,1.871,-0.91
Bergell/Poschiavo,1986,26.58,-0.951,1.841,-1.59
Bergell/Poschiavo,1987,26.34,-1.154,1.806,-1.94
Bergell/Poschiavo,1988,26.10,-0.774,1.782,-1.32
Bergell/Poschiavo,1989,25.87,-0.877,1.755,-1.50
Bergell/Poschiavo,1990,25.63,-1.404,1.713,-2.41
Bergell/Poschiavo,1991,25.39,-1.625,1.664,-2.83
Bergell/Poschiavo,1992,25.15,-0.784,1.641,-1.39
Bergell/Poschiavo,1993,24.91,-0.652,1.622,-1.17
Bergell/Poschiavo,1994,24.68,-0.761,1.600,-1.36
Bergell/Poschiavo,1995,24.44,-0.229,1.593,-0.41
Bergell/Poschiavo,1996,24.20,-0.779,1.571,-1.39
Bergell/Poschiavo,1997,23.96,-0.948,1.544,-1.70
Bergell/Poschiavo,1998,23.72,-1.613,1.499,-2.91
Bergell/Poschiavo,1999,23.48,-1.143,1.468,-2.11
Bergell/Poschiavo,2000,23.25,-1.268,1.433,-2.36
Bergell/Poschiavo,2001,23.01,0.299,1.441,0.56
Bergell/Poschiavo,2002,22.77,-1.034,1.413,-1.92
Bergell/Poschiavo,2003,22.53,-2.769,1.340,-5.19
Bergell/Poschiavo,2004,22.29,-0.980,1.314,-1.92
Bergell/Poschiavo,2005,22.06,-1.699,1.270,-3.35
Bergell/Poschiavo,2006,21.82,-2.021,1.218,-4.08
Bergell/Poschiavo,2007,21.58,-1.387,1.183,-2.89
Bergell/Poschiavo,2008,21.34,-1.236,1.152,-2.62
Bergell/Poschiavo,2009,21.10,-0.686,1.135,-1.48
Bergell/Poschiavo,2010,20.87,-1.011,1.110,-2.19
Bergell/Poschiavo,2011,20.63,-1.897,1.064,-4.15
Bergell/Poschiavo,2012,20.39,-1.506,1.028,-3.39
Bergell/Poschiavo,2013,20.16,-0.775,1.010,-1.79
Bergell/Poschiavo,2014,19.93,0.156,1.013,0.36
Bergell/Poschiavo,2015,19.58,-1.522,0.978,-3.46
Bergell/Poschiavo,2016,19.25,-1.061,0.954,-2.46
Bergell/Poschiavo,2017,18.63,-1.949,0.912,-4.48
Bergell/Poschiavo,2018,17.93,-2.157,0.866,-4.99
Bergell/Poschiavo,2019,17.37,-1.789,0.830,-4.22
Bergell/Poschiavo,2020,17.03,-1.154,0.806,-2.79
Bergell/Poschiavo,2021,16.76,-0.942,0.788,-2.30
Bergell/Poschiavo,2022,15.52,-3.831,0.718,-8.88
Bergell/Poschiavo,2023,14.52,-3.222,0.663,-7.67
Bergell/Poschiavo,2024,14.12,-1.415,0.639,-3.55
Bergell/Poschiavo,2025,13.58,-1.873,0.609,-4.68
Inn,1915,100.15,None,6.326,None
Inn,1916,100.63,0.337,6.366,0.63
Inn,1917,100.29,-0.307,6.330,-0.57
Inn,1918,99.87,-0.350,6.288,-0.65
Inn,1919,100.89,0.720,6.374,1.36
Inn,1920,101.29,0.250,6.404,0.47
Inn,1921,97.91,-2.748,6.087,-4.94
Inn,1922,98.14,0.130,6.102,0.25
Inn,1923,98.32,0.098,6.114,0.19
Inn,1924,98.81,0.324,6.151,0.62
Inn,1925,99.09,0.170,6.171,0.32
Inn,1926,99.31,0.114,6.184,0.22
Inn,1927,100.03,0.507,6.244,0.96
Inn,1928,97.29,-2.220,5.990,-4.07
Inn,1929,95.38,-1.548,5.816,-2.90
Inn,1930,95.08,-0.272,5.786,-0.52
Inn,1931,95.59,0.349,5.825,0.68
Inn,1932,94.11,-1.206,5.692,-2.29
Inn,1933,94.56,0.301,5.725,0.59
Inn,1934,93.59,-0.812,5.636,-1.56
Inn,1935,93.86,0.163,5.654,0.32
Inn,1936,94.17,0.197,5.675,0.39
Inn,1937,94.55,0.243,5.702,0.48
Inn,1938,94.00,-0.467,5.651,-0.91
Inn,1939,93.80,-0.192,5.630,-0.37
Inn,1940,94.70,0.642,5.701,1.27
Inn,1941,94.75,0.007,5.702,0.01
Inn,1942,93.46,-1.051,5.586,-2.03
Inn,1943,92.70,-0.637,5.517,-1.24
Inn,1944,91.98,-0.597,5.452,-1.17
Inn,1945,90.76,-0.986,5.347,-1.93
Inn,1946,90.11,-0.547,5.289,-1.08
Inn,1947,86.24,-3.250,4.959,-6.23
Inn,1948,87.28,0.745,5.036,1.54
Inn,1949,85.44,-1.528,4.882,-3.05
Inn,1950,83.22,-1.875,4.699,-3.76
Inn,1951,83.07,-0.148,4.684,-0.31
Inn,1952,81.67,-1.196,4.569,-2.45
Inn,1953,81.22,-0.397,4.531,-0.83
Inn,1954,81.11,-0.126,4.519,-0.27
Inn,1955,80.96,-0.165,4.504,-0.35
Inn,1956,80.45,-0.448,4.461,-0.94
Inn,1957,79.99,-0.407,4.423,-0.86
Inn,1958,79.45,-0.471,4.379,-1.00
Inn,1959,78.25,-1.022,4.285,-2.15
Inn,1960,78.19,-0.087,4.277,-0.19
